date,title,text,rating
2022-07-02,Mengecewakan,"Udah coba berlangganan, status ga berubah saldo dana ttp kepotong",1
2022-12-25,Telkomsel,"Adain terus ya kerjasamanya sama telkomsel, apalagi kalo ada promo paket pake telkomsel poin",5
2020-11-21,Recommended,"Haraganya bisa dikatakan sangat murah, banyak film yg didub, dan lain-lain. And for the suggestion, UI-nya agak diperbaiki agar nyaman dan fleksibel saat dipakai dan perbanyak film/series di aplikasi terutama dari original seriesnya.",5
2020-12-25,Works great on Apple TV,"Perfect!
Sesuai janji kasih bintang 5 klo bisa di Apple TV and no ads.
Thank you.",5
2022-01-16,OTP trouble,i did not get OTP code or a call. i can enjoy disney hotstar only from website.,1
2022-06-03,Airplay,"I didnâ€™t press the button to connect to airplay but it keeps trying to do that!! Also please, you donâ€™t need to ask me about mature and sensitive warning and make me have to click Continue every episode!! So annoying",2
2022-07-15,Bug,I dont even get any verification code for multiple times,5
2022-08-20,Lama banget dapet nomor verifikasinya,Kayak titit,1
2020-09-06,Chromecast support,"Please make a support for chromecast so our family can watch in TV, this is not comfortable when we as family watching in smaller screen mobile devices",1
2022-11-28,Keren karena ada Criminal Minds Evolution,Thanks udah fasilitasi saya nntn Criminal Minds Evolution. Jaya jaya jaya utk Disney+hotstar,5
2022-12-14,Limit for download,Tolong jangan di kasih limit download dong,2
2022-08-12,donlotnya jelek,"pas donlot stuck di 0% naik ampe 1-2 % doang, kuota ud kesedot lebih dr 1gb, jelek",1
2022-01-22,"was logged out, canâ€™t login.",i cant login. I waited for the text message verification code and a phone but I didnâ€™t get any,1
2022-01-08,Download always error,Download always error if Iâ€™m using mobile internet,1
2022-12-30,Fck app,Gak update .. nyesal berlangganan,1
2022-02-11,Almost perfect,Cuma kurang dark mode aja sih,4
2020-09-06,Mengecewakan,"Gabisa screen mirroring, gabisa colok kabel hdmi, ga bisa ntn di TV / layar lebih gede. 

Sort this out lah, uda telat masuk indonya, masa fitur appnya culun gini.",1
2022-01-20,Error 01100,"It keeps showing error 01100 though I have upgraded my Iphone 7 to ios 15.2.1, reinstall the app and restart the device.. please fix it",2
2020-09-05,Apple TV?,Why no Apple TV app???,4
2020-11-03,Download,"Lucu..pas download ga boleh di close app nya hrus standby terus kalo ga donlod nya ngulang lagi..terus parah nya ud donlod ampe 98% tiba2 suruh retry lgi alias ngulang donlod..really ğŸ¤¨..
please fix in.. jangan bikin malu aja..sekelas Disney kok app nya kek app steraming abal2",1
2022-06-01,Good,Competitve price than net,5
2020-09-07,Fitur Airplay,"Gan,... fitur airplay dong di tambahkan.. biar mantull gan",3
2020-09-05,Film Mulan 2020 nya mana? Katanya 5 September,Tidak ada film Mulan,2
2020-10-03,Apple TV app cannot log in,Thanks for finally providing the Apple TV app but please fix the log-in. It gets stuck after the OTP entry.,1
2020-09-10,"Masa harus nonton dilayar kecil, konyol","Gabisa cast ke chromecast, apa2 an cb, pake cara lain jg gabisa, mirroring malah screen recorder detected, useless, nyesel langganan setahun",1
2020-09-07,Chromecast,Tolong ditambah Chromecast ya.,3
2022-08-25,Share,Pleaseee for disney hotstar can you make a feature for share to instagram story? Like netflix? is sooo gooddd to share a movie/series on our instagram story but there is a sugn like play on disney plus hotstar! Sorry for my english but i hope you understand me!!ğŸ˜¡,3
2020-09-17,"9,5/10",Bagusâ€ film nya tp kurang lengkap :â€™(,5
2022-01-27,cant recieve otp and call confirmation hang up the phone right away,"Hotstar? more like Hotscam, cant even access the damn thing cos it keeps cancelling itself out when i try to log in no otp no ones calling for giving me the code",1
2022-04-15,ribet,"mau perpanjang ribet, dpt OTP susah banget, pilihan pembayaran dikit",1
2020-09-04,No cast function yet,So I'm succeed in signing up disney+ indonesia in sept 4th!ğŸ‰tho little something's bothering me that is no casting feature from iphone to chromecast yet,3
2022-08-31,Salah paham,gw kira gratis,1
2022-07-10,Need to Fix Soon,"Menunggu kode verifikasi sangat begitu lama, tidak bisa langsung login, pengkategorian juga ambigu, mencari cartoon atau anime juga tidak terlalu banyak",1
2020-09-05,kapan tersedia di Apple TV?,Aplikasi ini belum tersedia di Apple tv,4
2020-09-09,Great app!,"I love this app, because it has a lot of content and has a great UI.",5
2022-04-15,please add spatial audio feature,please add spatial audio feature please add spatial audio feature please add spatial audio feature please add spatial audio feature please add spatial audio feature,5
2022-10-09,Good job,"Semoga bisa langganan terus, film nya bikin nagih. ğŸ˜Š",5
2022-11-01,Protes verify dana tidak berjalan lancar,"Tidak bisa verify dana, sudah beberapa jam nunggu gaada kode verify yang terkirim, padahal nomornya sudah benar, saya jadi tidak bisa berlangganan via dana, tolong segera di fiks, agar proses pembayaran berlangganan berjalan lancar.",2
2022-02-22,Out run by running man,Kok ga update lagiâ€¦ mana eps ya baru?,2
2022-10-27,Bad,Super jelek bgt di mi tv terjadi kesalahan mulu disney nya perbaikin lg dong!,1
2022-03-19,Komplain,"Kenapa bnyak film g bisa d tonton y, keterangannya kesalahan DRM (PL 1206)",2
2020-09-06,Canâ€™t cast to chromecast,"No option available to cast the movies to chromecast, why ?",4
2022-04-10,Hard to get OTP,Cant log in because very hard to get OTP,1
2020-10-27,RadhaKrishna season 2ğŸ™ğŸ»ğŸ™ğŸ»,Tambahkan seoson 2 serial RadhaKrishna plizzğŸ™ğŸ»,3
2022-06-13,Tidak bisa login,Kode otp tidak dikirimkan sangat lama,1
2020-09-07,Hanya satu ketidaklancaran,"Overall sudah cukup stabil, fitur download berjalan lancar hanya saja kirim SMS OTP tidak terkirim-kirim, yang berjalan lancar ketika request OTP via call",5
2020-09-30,Bad UI/UX,"After playing properly in my Xiaomi TV for weeks, the app suddenly asked me to log out & log in again. Funnily, when it asked me to log in from the website again, there is no option for my region. It was only for India...
When I asked the tech support, they kept asking  me if I use VPN, blah blah blah.... For goodness sake, the problem is in your website login, not on my device!!! ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡

Seriously, learn from Netflixâ€™s UI/UX!",2
2020-09-13,Airplay option and AppleTV app,Please enable Airplay option and provide app for AppleTV. Also we need 4K / HDR contents. Weâ€™re stuck watching on small screens,5
2022-01-09,Age confirmation,Do I really need to confirm if Iâ€™m 20+ every time? Itâ€™s not a really great experience when watching a series,5
2020-12-02,miraculous,can we pleaseee have miraculous : tales of ladybug?? they have it on disney+ US..,5
2022-09-23,Urgent,Im subscribe 1 year. But now Iâ€™m canâ€™t loginâ€¦ what happens.. please help,5
2020-09-05,Belom bisa di chrome cast ke tv,Nanti kalo udah bisa chrome cast ke tv baru dikasih bintang 5,3
2022-02-24,Encanto,I wanna free not buy,1
2022-11-19,Cant log in when iâ€™m travelling to another country,Iâ€™ve subscribed to disney+ when I was in my home country and i am asked to subscribe again when i am at another country. I would prefer another app for watching movie just because of this policy then.,3
2020-11-28,Canâ€™t watch on TV using Apple Digital AV Adapter to HDMI,"Just wasted Rp. 199,000,- just to purchase a yearly subscription service without any chance to be able to watch it on my TV by using Apple Digital AV Adapter to HDMI. Watching on iPhone or iPad is tiring. What is the meaning of purchasing Disney+ service if itâ€™s canâ€™t be enjoyed by the whole family members on TV screen? It doesnâ€™t make sense! I want my money back.",1
2022-05-18,Bagus sekali,Banyak series dan movie yang bagus ditonton,5
2020-09-06,canâ€™t be cast to TV,"itâ€™s pathetic Disney has million good movies but can only watch in mobile phone and canâ€™t be cast to smart TV 

youâ€™re not supposed to limit the application like that. 
So dissapointed ! i already subscribed for 1 year.

your rate will be the best after you upgrade the capability your apps to be able to cast to smart TV",1
2020-10-11,Pleas input tv series,"Hello disney+hotstar, please read my review, i m so glad if you put the series The replacements on disney channel thankyou",5
2020-10-15,Iklan,Kebanyakan iklan bikin kesel,1
2020-09-05,Remove horrors please,"Hello, i think itâ€™s very inappropriate for disney+ to show indonesian and other horrific movies. If you choose to show scary movies, simply haunted mansion, halloween town movies, nightmare before Christmas, corpse bride, hocus pocus and other disney related halloween movies and shows. Please rethink and review the horror movies in disney+ hotstar. Also, there are a lot of disney movies and shows that are not in disney+ hotstar",2
2020-09-05,Belum bs connect pakai chromecast,Belum bs connect pakai chromecast,3
2022-03-13,Tidak bisa log in,"Buat log in pakai no hp tidak dapat kode otp, susah banget sampai harus pakai 3 no hp tetap tidak dapat kode otp",1
2020-11-06,Worst Movie Stream App,Unlimited bugs! Streams really slow while I donâ€™t have any issue with other similar. Downloading fails 9 out of 10. Interface really not user friendly. Often fails when i try to stream. Really poor app!!!,1
2022-08-09,Error Kode OTP,Kode otp ga dikirim2 woy ğŸ˜Œ,1
2020-09-17,Playback error,"Please fix this, iPadOs 13. Thanks:)",5
2022-12-01,Otp gk masuk,Otp aja gk masuk2 sia2 langganan! Anjing!,1
2020-09-27,kualitasny kurang bagus,kualitasny jelek bgt pdhl udh diganti  ama yg tinggi tp ttp jelek gmn sih,1
2020-10-02,Lag,Lag. My connection 100Mbps,1
2022-06-30,Ntn berbayar episode tidak lengkap,Ntn LEGEND OF HAOLAN kirain lengkap ternyata cmn Stgh nya aja dari jumlah 60 lebih episode cmn ada 30 pedahal film sudah lama,1
2020-09-09,Love it,"Easy to use and the UI awesome. But need improvement in screen mirroring, both on iphone or androids.",4
2022-05-25,Setiap waktu,ketika anda dalam keadaan dan situasi apapun mungkin butuh sesuatu utk menghibur atau hanya utk mengisi kekosongan waktu anda tidak perlu melamun dan bingung gunakan jempol cukup tekan Disney pilih mana yg sesuai dgn hati anda akan terhibur setiap waktu,5
2022-11-18,"Apps yang bikin bilang hah,,????","Sering log out out of nowhere, begitu login susah setengah mati!!! Mau login lagi nunggu kode verifikasinya lama bet lama. Hadehhh. Dulu sms susah bgt lah terus dapat tuh WA notifnya ga ada keren2nya banget dah, beli WA business kek yg pake badge, dapet WA notifikasi verifikasi ga ada foto, ga ada badge pula, YONI International Pte Ltd siape bos??? Kasih nama kek Disney Plus, kaga modal banget dah asli.",2
2020-09-05,Ada dubbing bahasa indonesianya,"Keren ini, terobosan baru, ada dubbing bahasa indonesia, jd lebih enak ditonton, joss",5
2022-06-28,No big screen for some and log in problem,"The collection of things to watch are growing, but the app still has issues, lots of complaints that the app doesnt allow you to share the screen to bigger devices, some of us still use not so smart tv and watch it the old ways with hdmi port to our beloved phone or ipad, and sadly the app doesnt allow that. And then there is the problem of keep logging out from my account, and when trying to log in the verification code just never arrived, please help us fix these, thanks",3
2020-09-05,Gabisa di chrome casting ya?,Ini ga bisa di chromecasting?,2
2022-10-18,Akun,Daftar pakai akun nomor hp tapi tidak ditemukan akunnya aneh banget!,2
2020-09-04,No cast options!!??,Seriously 2020 and I cant cast it to my TV????,4
2020-09-04,Suka Sekali,"Akhirnya ada pilihan Streaming Video baru kebetulan Netflix besok langganan-nya habis, apalagi ada film-filmnya Disney, Marvel, Fox, NatGeo dan lain-lain disini.
Mantaaappp ğŸ”¥",5
2022-01-13,Parental Code,"Saran min, tambahkan fitur parental code untuk konten dengan kategori 17+ karena â€œmode anakâ€ saja tidak cukup. Terlalu riskan bagi saya orang tua yang punya anak dibawah umur. Terima kasih",5
2020-10-09,Logged out endlessly,Subscribed for one year & being logged out everytime i watch. Very bad service,1
2020-09-06,Canâ€™t cast?!!!!,Itâ€™s 2020! Even the cheapest streaming apps allow you to cast! Even the illegal streaming sites allow you to cast! Câ€™mon!!!,3
2022-03-09,<3,â€¦.,5
2022-08-24,Rugi,"Setiap mau download, unduhannya tiba2 tercancel padahal jaringan wifi baik2 aja, rugi berlangganan",1
2022-03-06,Still canâ€™t supported spatial audio for airpods pro,So sad,2
2022-03-23,Lame,"This is the 2nd year i subsribe into this platform
Altough im not very impressed i still buy because i love disney film and marvel
And still compare to other platform this app is not so enjoyable

Honestly if you can give us filter to access every movie starred by some actor or else it will be so much better

And i can understand that being in different region means our access to some movie is limited, but some big show like marvelâ€™s daredevil is released in usa but not in our country? 

Do you still prefer us to chose another platform? Pfft",2
2022-07-19,OTP GAGAL,"Berkali-kali mencoba login, tp gk dapet2 OTP -_-",1
2020-09-28,Banyakin film indo nya dongg,banyakin film comedi dongg,4
2022-06-12,Tidak mendaatkan kode otp pas login,Tidak bisa login dan tidak mendapatkan kode otp,1
2020-09-17,Upgrade dong,"Semoga cepat ada di apple tv, atau kalo ga ya minimal bisa di screen mirroring lah. Uda ga jaman soalnya nyambungin laptop ke TV..",2
2020-09-22,No Apple TV Support,I canâ€™t believe no Apple TV support. Please make it happen!,4
2020-10-05,history plisss,kasi history dong biar ada bekas kita nonton mau di cari lagi kan gampang,5
2022-11-15,Shin ye eun bestt,Download it just to watch shin ye eun<3,5
2020-10-20,hii,"this app is so good! i really love it,but can you please add miraculous ladybug please?? i really appreciate if you couldğŸ–¤, thank you!!ğŸ–¤ğŸ–¤",5
2020-09-05,Supported smart tv please,"Masih belum support di smarttv, kalau dah support baru subscribe premium dan bintang 5... secepatnya please ğŸ™ğŸ»",3
2022-08-21,Komplain,Berhenti langganan dan masih ada waktu sampe 16 september tapi belum nyampe 16 september udh gabisa nonton! terus sia sia dong gw bayar yg sebulan ini hffttt-___-,2
2020-12-06,Dissapointed,Already purchased but still canâ€™t watch movies,1
2020-09-13,Lock screen,Please give option icon to lock screen when play movie,4
2022-06-23,wasted,Didn't get fckn otp,1
2022-08-23,Aplikasi terbaik,Enak dan mudah untuk mencari flim yang trending â€¦ dan seru,5
2022-01-02,smart tv,it isnâ€™t available on my smart tv so i have to use my phone everytimeee. please make it available on smart tvs!,5
2022-02-22,Error with downloaded video,Downloaded video can't be played until the end of the videoğŸ¥²,2
2022-06-05,ğŸ’”,"Ga ada yg malaysiaa
Mau nonton Melur untuk Firdaus ğŸ˜­ğŸ˜­ğŸ˜­",5
2020-10-07,Subtitles,Tolong sediakan juga subtitle Englishnya ğŸ˜­,4
2020-09-20,I'm lovin it,"Aplikasi konten hiburan film/series kesukaan aku. Terima kasih telah mengumpulkan semua koleksi Disney, Marvel, Star Wars universe, dan lainnya",5
2020-11-25,Ask for content,Where's Taylor Swift performance? Isn't available in Indonesia?â˜¹ï¸ come on dude,1
2022-07-04,Keren,"nice , topzzz",5
2020-09-20,"Great app, works with chromecast!","Finally they listened, new version with chromecast enabled!",5
2022-04-27,Always buffering,"Menjijikkan, nonton 1 film selalu bufferingâ€¦.",1
2020-09-06,Cannot cast to smart tv,There is no option to cast to smart tv please fix this,5
2020-09-09,No need to subscribe this,"No Mulan, No other great movies/serial from Disney. Just disappointed as one of the first subscribers. Instagram admins donâ€™t reply to all comments/dms. They just choose the questions which they could answer or just common questions",1
2020-09-09,Amazing,"This app is a solid 9.5/10 the price is cheap for an annual subscription, and there are a lot ot diffrent movies to watch.",5
2022-12-27,Susah sambungin ke tv,"Aplikasi ribet mau sambungin ke tv , update dong supaya pakek code barcode jadi gampang masukin nya",2
2022-06-29,Worst Server!,"My connection wasnâ€™t that bad but when i play a film its always say Error for nothing, please disney fix your fckng Srver!",1
2020-09-06,Love the Appâ¤ï¸â¤ï¸,I get to watch Disney movies that havenâ€™t been released in the cinema because of the pandemic,5
2020-09-19,Ribet,"ga bisa ke apple tv, ga bisa 4k...",1
2020-09-07,SMS Verification,Cant receive any sms from disney+ for the verification code. I tried many times. Help pls?,3
2022-05-04,Otp,Please fix OTP issue!!,4
2022-02-10,"Screen Recording Detected, DNS auto logs out","Hotstar needs to get their stuff together. You canâ€™t play anything while connected TV or monitor.  Netflix, HBO, even other local streaming works just fine. Why the uncessary security feature? Itâ€™s the same as disabling the audio when you use an earphone instead of the built-in speaker. Ridiculous! Plus you can easily circumvent this if logged in and playing via browser. This â€œfeatureâ€ needs to be removed immediately. Also, being connected to VPN or Private DNS automatically logs you out and deletes all your previously downloaded shows and movies. This is totally unecessary as well. If you want people not to use VPN or Private DNS while using the app you can simply warn them. Why forced logged out and removal of files?",2
2022-06-12,Susah login,LAMA BGT KIRIM KODE VERIFIKASI !!! Makin kesini makin jelek!,1
2022-12-07,Good but bad,"I started subscribing to Disney+ a month ago because I was interested in some of their content. I downloaded the app, subscribed through the application, and I have been surfing through their movies and TV shows ever since. Coming from using Netflix, I found some pros and cons pretty early on. 

Pros:
- Amazing, very wide, and world renowned content
- Much more affordable than their competition
- The application is quite intuitive
- Video resolution is top notch
- Love the way they group movies and tv shows on the bottom navigation bar
- Love how I can watch movies in portrait so I can scroll through other information beneath

Cons:
- No dark mode
- Canâ€™t set my age so I wouldnâ€™t have to press continue on every episode for series that has mature content
- After I leave the app mid-movie, it doesnâ€™t take much for it to reload the whole application, so I lose my movie progress
- Does not pick up where I left off, especially if I use multiple devices (i.e. iPhone and MacBook) so I am forced to scroll through the timeline to see where I last watched it
- If I leave portrait orientation lock to OFF, every time I watch in landscape mode and I play the next episode of a series that has mature content, the modal for me to continue glitches and I can not press on anything to continue
- No PIP in iPhone

So, overall Disney+ is great but the app is horrible. Little ways where it can help improve and smoothens customer journey were left out. At the end of the day, the cons outweighed the pros for me. So, after watching my favorite TV shows, Iâ€™m out unless the app gets fixed.",3
2022-07-16,Share to Media Social,Would you mind to make feature â€˜share to media socialâ€™ like playlist?,4
2020-11-11,Layanan langganan error,"Tolong perbaiki lg aplikasinya, saya udah bayar utk berlangganan namun ketika klik play movienya malah error ( masalah pada saat menyambungkan langganan ).
Ini aplikasi bikin emosi aja dah bayar tapi ga bisa diplay",1
2020-09-05,ğŸ¥³ğŸ¤©,Omg seneng bgt disney+ muncul di Indonesia!,5
2020-09-13,Now i can use chromecast,"Ok now i can cast it on my chronecast, 5 stars for you cheers",5
2022-05-05,Parah!,"Ngedownload lama parah.. padahal jaringan bagus penyimpanan kosong.. terus tiap nge download gabisa dijeda, sekalinya dijeda download nya nge refresh ke 0% lagi !.",1
2022-07-15,Sad,GBS PAKE WIFI COK NI PAKET DATA TRS WE LIATNYAğŸ˜­,4
2020-10-04,Did not support chromecast gen3,I can not see the movie with chromecast gen3 fw 1:49 always loadingâ€¦ please fix it,2
2020-12-22,Bagus.. bagus bangetğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,"Bagus..., bagus bangetğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘",5
2022-02-13,Oops!,something went wrong. check again next time,3
2020-09-05,Luar biasa,Good job,5
2020-10-07,Berlangganan,Saya udah berlangganan pake DANA tapi kenapa film tetel gabisa dibuka?,1
2022-01-11,I Cant Download the Movie,Why i canâ€™t download any single video on thatâ€™s App,1
2022-09-03,DARK MODE,"Please add dark mode, thank you.",5
2022-06-13,Peaky Blinders where man,Can you add Peaky Blinders? I wanted to watch it but iâ€™m not at home and I canâ€™t use my data to watch netflix so please?,1
2022-09-11,down load,Why so slow if we want to download,3
2022-06-23,Film di skip skip,"Tolong yg adegan adegan 18+nya jangan di percepat cepat dong, ga seru jadinya",3
2020-09-11,Fitur cast ke tv ga ada,Ga da fitur cast ke led tv... kalah bersaing dengan layanan streaming yg lain2...,1
